,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
83,141.52,141.85,140.79,140.96,131.430707851,3535555,0.0000,1.0,2021-07-30
84,142.33,142.96,141.6,141.93,132.335133125,2657669,0.0000,1.0,2021-07-29
85,143.01,143.1,141.64,141.77,132.185949574,2544099,0.0000,1.0,2021-07-28
86,142.53,143.64,141.6,142.75,133.09969882,3137027,0.0000,1.0,2021-07-27
87,141.39,143.0,141.13,142.77,133.118346764,4246266,0.0000,1.0,2021-07-26
88,140.96,141.7,140.33,141.34,131.785018783,4474157,0.0000,1.0,2021-07-23
89,141.66,141.81,140.41,140.71,131.197608553,3314153,0.0000,1.0,2021-07-22
90,139.97,141.39,139.65,141.3,131.747722895,4803977,0.0000,1.0,2021-07-21
91,143.0,144.92,138.7,139.97,130.507634633,13611675,0.0000,1.0,2021-07-20
92,136.45,138.49,136.2089,137.92,128.596220394,8582302,0.0000,1.0,2021-07-19
93,141.0,141.0,138.59,138.9,129.50996964,4109308,0.0000,1.0,2021-07-16
94,139.32,140.46,138.8005,140.45,130.955185284,3639698,0.0000,1.0,2021-07-15
95,140.72,140.75,138.9273,139.82,130.367775054,4403752,0.0000,1.0,2021-07-14
96,140.92,140.92,139.63,140.28,130.796677762,3164294,0.0000,1.0,2021-07-13
97,141.43,141.9599,140.115,140.92,131.393411963,3342627,0.0000,1.0,2021-07-12
98,141.45,141.98,140.841,141.52,131.952850277,3904059,0.0000,1.0,2021-07-09
99,137.78,141.31,137.66,140.74,131.225580469,5487425,0.0000,1.0,2021-07-08
100,138.76,140.33,138.76,139.82,130.367775054,4059667,0.0000,1.0,2021-07-07
101,139.99,140.42,137.1,138.78,129.398081977,8093747,0.0000,1.0,2021-07-06
102,146.91,146.95,139.46,140.02,130.554254492,16828161,0.0000,1.0,2021-07-02
103,146.96,147.5,146.57,146.84,136.913203326,2686289,0.0000,1.0,2021-07-01
104,145.13,146.93,144.71,146.59,136.680104028,3245091,0.0000,1.0,2021-06-30
105,145.26,146.74,145.1,145.55,135.710410951,2428626,0.0000,1.0,2021-06-29
106,147.01,147.3,144.9121,145.29,135.467987682,3888869,0.0000,1.0,2021-06-28
107,145.38,146.93,144.945,146.84,136.913203326,3594218,0.0000,1.0,2021-06-25
108,145.8,146.19,144.69,145.44,135.60784726,3609679,0.0000,1.0,2021-06-24
109,146.43,146.5,144.57,144.61,134.833957593,3202644,0.0000,1.0,2021-06-23
110,146.52,146.81,145.35,146.36,136.465652675,2437121,0.0000,1.0,2021-06-22
111,144.11,147.07,144.06,146.65,136.73604786,4285711,0.0000,1.0,2021-06-21
112,144.48,144.68,143.04,143.12,133.44468578,9156505,0.0000,1.0,2021-06-18
