,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
78,2175.0,2186.0,2152.7,2171.55,2171.55,148076,0.0000,1.0,2021-08-18
79,2170.0,2185.0,2148.3,2163.95,2163.95,183210,0.0000,1.0,2021-08-17
80,2146.5,2202.0,2128.7,2172.45,2172.45,361511,0.0000,1.0,2021-08-16
81,2115.8,2149.8,2110.1499,2144.75,2144.75,208107,0.0000,1.0,2021-08-13
82,2125.05,2126.75,2105.3999,2110.25,2110.25,235334,0.0000,1.0,2021-08-12
83,2099.0,2119.5,2082.55,2116.1001,2116.1001,346083,0.0000,1.0,2021-08-11
84,2084.7,2112.8,2073.55,2088.3999,2088.3999,415981,0.0000,1.0,2021-08-10
85,2076.2,2089.5,2065.8,2077.25,2077.25,236037,0.0000,1.0,2021-08-09
86,2125.2,2146.0,2079.2,2089.05,2089.05,336073,0.0000,1.0,2021-08-06
87,2116.8999,2154.6001,2104.3,2133.3,2133.3,357064,0.0000,1.0,2021-08-05
88,2097.6001,2114.1001,2087.0,2103.55,2103.55,297852,0.0000,1.0,2021-08-04
89,2085.0,2091.25,2064.1499,2086.8999,2086.8999,318185,0.0000,1.0,2021-08-03
90,2047.2,2079.0,2041.0,2071.5,2071.5,406792,0.0000,1.0,2021-08-02
91,2055.25,2068.1499,2030.4,2035.4,2035.4,228312,0.0000,1.0,2021-07-30
92,2050.0,2074.3999,2043.75,2055.25,2055.25,142646,0.0000,1.0,2021-07-29
93,2060.1001,2060.1499,2016.6,2036.85,2036.85,207230,0.0000,1.0,2021-07-28
94,2079.0,2083.5,2041.2,2054.3,2054.3,271432,0.0000,1.0,2021-07-27
95,2110.0,2121.6001,2071.7,2077.7,2077.7,378150,0.0000,1.0,2021-07-26
96,2135.0,2135.0,2102.8501,2105.2,2105.2,253418,0.0000,1.0,2021-07-23
97,2111.2,2124.1001,2098.8,2121.0,2121.0,170937,0.0000,1.0,2021-07-22
98,2097.3501,2108.1001,2084.0,2093.6001,2093.6001,262169,0.0000,1.0,2021-07-20
99,2104.0,2124.0,2093.0,2099.1001,2099.1001,1466286,0.0000,1.0,2021-07-19
100,2085.0,2114.5,2085.0,2111.8,2111.8,333073,0.0000,1.0,2021-07-16
101,2096.0,2096.0,2078.6499,2083.25,2083.25,211763,0.0000,1.0,2021-07-15
102,2102.7,2106.8,2082.0,2086.0,2086.0,143306,0.0000,1.0,2021-07-14
103,2100.0,2103.3,2088.1001,2099.55,2099.55,356025,0.0000,1.0,2021-07-13
104,2081.8,2101.75,2075.1499,2084.45,2084.45,1575869,0.0000,1.0,2021-07-12
105,2086.8999,2091.2,2065.95,2073.2,2073.2,439784,0.0000,1.0,2021-07-09
106,2115.0,2115.8,2081.0,2092.8999,2092.8999,319555,0.0000,1.0,2021-07-08
107,2126.3501,2127.75,2098.7,2110.1499,2110.1499,432960,0.0000,1.0,2021-07-07
108,2150.0,2150.05,2121.0,2125.95,2125.95,277840,0.0000,1.0,2021-07-06
109,2137.8,2153.0,2131.5,2149.8999,2149.8999,461608,0.0000,1.0,2021-07-05
110,2099.8999,2133.25,2094.25,2129.2,2129.2,227146,0.0000,1.0,2021-07-02
111,2114.1001,2122.0,2094.55,2097.75,2097.75,425382,0.0000,1.0,2021-07-01
112,2095.0,2123.5,2091.95,2110.8999,2110.8999,426251,0.0000,1.0,2021-06-30
113,2089.0,2109.0,2083.3,2087.2,2087.2,447665,0.0000,1.0,2021-06-29
114,2124.0,2127.1001,2081.1001,2086.0,2086.0,663274,0.0000,1.0,2021-06-28
115,2159.8,2159.8,2081.1499,2104.3,2104.3,835596,0.0000,1.0,2021-06-25
116,2214.8,2215.0,2140.0,2153.3501,2153.3501,1045454,0.0000,1.0,2021-06-24
117,2249.0,2250.0,2201.45,2205.1001,2205.1001,674944,0.0000,1.0,2021-06-23
118,2254.7,2260.75,2220.0,2226.0,2226.0,271039,0.0000,1.0,2021-06-22
119,2204.3501,2247.7,2200.95,2237.6001,2237.6001,243713,0.0000,1.0,2021-06-21
120,2217.25,2234.95,2184.25,2225.05,2225.05,267640,0.0000,1.0,2021-06-18
121,2200.25,2235.0,2179.8501,2215.55,2215.55,351428,0.0000,1.0,2021-06-17
122,2248.0,2248.0,2206.75,2211.6499,2211.6499,497096,0.0000,1.0,2021-06-16
123,2256.25,2274.5,2241.2,2249.7,2249.7,634070,0.0000,1.0,2021-06-15
124,2214.0,2258.3,2196.0,2245.3,2245.3,386196,0.0000,1.0,2021-06-14
125,2186.7,2227.8999,2182.7,2213.0,2213.0,229252,7.0000,1.0,2021-06-11
126,2192.2,2229.95,2177.2,2182.7,2175.7,268564,0.0000,1.0,2021-06-10
127,2219.8999,2221.6001,2158.25,2174.75,2167.7756,359005,0.0000,1.0,2021-06-09
128,2224.6499,2227.0,2198.3999,2214.7,2207.5974,152318,0.0000,1.0,2021-06-08
129,2205.8999,2241.8,2184.6001,2227.3,2220.157,615525,0.0000,1.0,2021-06-07
130,2219.0,2219.0,2183.8,2190.6,2183.5747,261311,0.0000,1.0,2021-06-04
131,2222.0,2250.0,2196.1,2209.25,2202.1649,760173,0.0000,1.0,2021-06-03
132,2159.9,2209.9,2158.55,2201.3,2194.2403,400317,0.0000,1.0,2021-06-02
133,2164.1,2201.7,2147.35,2168.25,2161.2963,916472,0.0000,1.0,2021-06-01
134,2101.0,2191.5,2082.0,2160.45,2153.5214,2034450,0.0000,1.0,2021-05-31
135,1990.0,2105.0,1985.1,2094.9,2088.1816,2158323,0.0000,1.0,2021-05-28
136,1970.9,1992.2,1963.1,1978.2,1971.8558,274228,0.0000,1.0,2021-05-27
137,1984.9,1984.9,1966.0,1969.65,1963.3333,184227,0.0000,1.0,2021-05-26
138,1990.05,1997.0,1960.1,1964.5,1958.1998,204518,0.0000,1.0,2021-05-25
139,2007.4,2009.5,1981.6,1985.55,1979.1823,710011,0.0000,1.0,2021-05-24
140,1995.7,2009.0,1980.0,2000.9,1994.483,210603,0.0000,1.0,2021-05-21
141,1996.35,2010.8,1981.1,1985.3,1978.9331,276354,0.0000,1.0,2021-05-20
142,1982.0,2016.6,1972.1,1996.35,1989.9476,563712,0.0000,1.0,2021-05-19
143,1978.0,2002.65,1972.1,1987.8,1981.4251,578117,0.0000,1.0,2021-05-18
144,1938.7,1963.15,1931.0,1960.55,1954.2624,405141,0.0000,1.0,2021-05-17
145,1925.1,1941.5,1906.5,1936.85,1930.6385,515884,0.0000,1.0,2021-05-14
146,1934.0,1934.0,1907.75,1913.55,1907.4132,373114,0.0000,1.0,2021-05-12
147,1917.0,1938.65,1910.05,1933.7,1927.4986,265869,0.0000,1.0,2021-05-11
148,1943.75,1946.1,1920.4,1925.7,1919.5242,225581,0.0000,1.0,2021-05-10
149,1940.0,1955.45,1925.9,1931.3,1925.1062,178669,0.0000,1.0,2021-05-07
150,1926.0,1934.15,1907.25,1929.9,1923.7107,231521,0.0000,1.0,2021-05-06
151,1919.7,1937.9,1908.15,1919.75,1913.5933,287285,0.0000,1.0,2021-05-05
152,1954.0,1967.5,1911.0,1916.55,1910.4036,1021839,0.0000,1.0,2021-05-04
153,1963.7,1979.0,1943.7,1959.25,1952.9666,693942,0.0000,1.0,2021-05-03
154,2014.7,2036.4,1987.4,1994.45,1988.0537,321474,0.0000,1.0,2021-04-30
155,2016.65,2045.0,2008.0,2023.2,2016.7115,253013,0.0000,1.0,2021-04-29
156,1999.45,2007.4,1980.75,1996.05,1989.6486,442402,0.0000,1.0,2021-04-28
157,1943.0,1997.55,1940.9,1988.9,1982.5215,348348,0.0000,1.0,2021-04-27
158,1916.25,1961.0,1911.85,1937.45,1931.2365,1330622,0.0000,1.0,2021-04-26
159,1903.0,1919.0,1896.0,1904.4,1898.2925,370043,0.0000,1.0,2021-04-23
160,1896.0,1914.45,1877.6,1906.05,1899.9372,1180007,0.0000,1.0,2021-04-22
161,1914.7,1919.9,1890.55,1901.4,1895.3021,414659,0.0000,1.0,2021-04-20
162,1901.0,1916.6,1891.0,1902.55,1896.4485,485900,0.0000,1.0,2021-04-19
163,1944.0,1949.5,1926.6,1934.0,1927.7976,1494385,0.0000,1.0,2021-04-16
164,1920.5,1960.65,1913.6,1943.9,1937.6658,328742,0.0000,1.0,2021-04-15
165,1925.0,1940.15,1918.35,1931.9,1925.7043,265483,0.0000,1.0,2021-04-13
166,1956.05,1966.25,1900.55,1911.3,1905.1704,666100,0.0000,1.0,2021-04-12
167,2003.0,2006.8,1980.1,1982.65,1976.2916,241161,0.0000,1.0,2021-04-09
168,2010.05,2021.15,1993.5,2005.0,1998.5699,1534983,0.0000,1.0,2021-04-08
169,1992.2,2046.1,1992.2,2002.8,1996.3769,281524,0.0000,1.0,2021-04-07
170,2001.25,2005.0,1970.0,1983.65,1977.2884,337567,0.0000,1.0,2021-04-06
171,2025.0,2025.0,1961.85,1992.8,1986.409,253365,0.0000,1.0,2021-04-05
172,2019.7,2030.0,2003.35,2021.7,2015.2163,246593,0.0000,1.0,2021-04-01
173,2015.35,2049.9,1999.0,2003.2,1996.7757,207901,0.0000,1.0,2021-03-31
174,2009.7,2048.5,1992.0,2028.6,2022.0942,266010,0.0000,1.0,2021-03-30
175,2010.0,2014.95,1973.05,1994.25,1987.8544,800154,0.0000,1.0,2021-03-26
176,2050.55,2057.55,1985.0,1992.75,1986.3592,309621,0.0000,1.0,2021-03-25
177,2080.55,2080.55,2040.8,2047.3,2040.7342,307569,0.0000,1.0,2021-03-24
178,2064.0,2109.9,2057.25,2089.05,2082.3503,578793,0.0000,1.0,2021-03-23
179,2075.0,2075.0,2033.9,2061.85,2055.2376,317137,0.0000,1.0,2021-03-22
180,1988.3,2095.0,1981.2,2081.9,2075.2233,729355,0.0000,1.0,2021-03-19
181,2071.1,2085.0,2001.0,2009.5,2003.0555,975274,0.0000,1.0,2021-03-18
182,2100.0,2103.75,2035.35,2055.15,2048.5591,243197,0.0000,1.0,2021-03-17
183,2114.8,2125.8,2096.05,2100.45,2093.7138,223111,0.0000,1.0,2021-03-16
184,2138.65,2148.8,2080.9,2108.75,2101.9872,513109,0.0000,1.0,2021-03-15
185,2199.0,2205.0,2123.65,2138.65,2131.7913,298281,0.0000,1.0,2021-03-12
186,2211.0,2215.75,2170.15,2181.7,2174.7032,249199,0.0000,1.0,2021-03-10
187,2200.0,2214.7,2146.2,2190.2,2183.1759,312285,0.0000,1.0,2021-03-09
188,2171.5,2231.0,2169.45,2190.45,2183.4251,375048,0.0000,1.0,2021-03-08
189,2168.0,2212.5,2155.0,2178.55,2171.5633,430447,0.0000,1.0,2021-03-05
190,2179.7,2189.65,2158.0,2175.7,2168.7224,1316695,0.0000,1.0,2021-03-04
191,2121.7,2220.0,2107.2,2201.35,2194.2902,1101111,0.0000,1.0,2021-03-03
192,2124.0,2130.0,2089.25,2106.2,2099.4453,269778,0.0000,1.0,2021-03-02
193,2114.45,2114.45,2063.2,2101.15,2094.4115,366701,0.0000,1.0,2021-03-01
194,2109.0,2133.4,2070.15,2083.85,2077.167,902603,0.0000,1.0,2021-02-26
195,2078.0,2152.25,2071.0,2144.85,2137.9714,2401302,0.0000,1.0,2021-02-25
196,2025.8,2081.5,2000.55,2065.55,2058.9257,1580996,0.0000,1.0,2021-02-24
197,2028.0,2053.1,2013.8,2024.25,2017.7582,420916,0.0000,1.0,2021-02-23
198,2080.0,2089.7,1995.1,2007.4,2000.9622,649015,0.0000,1.0,2021-02-22
199,2065.0,2104.95,2058.0,2080.55,2073.8776,398673,0.0000,1.0,2021-02-19
200,2085.75,2107.7,2059.7,2065.5,2058.8759,298538,0.0000,1.0,2021-02-18
201,2058.0,2095.0,2050.85,2082.75,2076.0705,692483,0.0000,1.0,2021-02-17
202,2040.0,2079.0,2037.5,2059.65,2053.0446,361465,0.0000,1.0,2021-02-16
203,2049.0,2060.55,2025.4,2032.6,2026.0814,325784,0.0000,1.0,2021-02-15
204,2059.7,2077.5,2015.55,2041.25,2034.7036,640628,0.0000,1.0,2021-02-12
205,1977.45,2062.2,1971.2,2055.55,2048.9578,1942646,0.0000,1.0,2021-02-11
206,1957.7,1983.95,1928.0,1975.25,1968.9153,470988,0.0000,1.0,2021-02-10
